NameID,year,Sales,price,FuelEfficiency,HH,size,hppw,share,share0,hppw_own_sum,FuelEfficiency_own_sum,size_own_sum,iv_BLP_own_hppw,iv_BLP_own_FuelEfficiency,iv_BLP_own_size,iv_BLP_other_hppw,iv_BLP_other_FuelEfficiency,iv_BLP_other_size,iv_GH_own_hppw,iv_GH_own_FuelEfficiency,iv_GH_own_size,iv_GH_other_hppw,iv_GH_other_FuelEfficiency,iv_GH_other_size,logit_share
0,2011,4206,2.9980373831775706,19.4,53783435,9.947232,0.10252100840336134,7.820251718768056e-05,0.9389811007794501,0.29906098344895116,49.4,33.139717499999996,0.19653997504558982,30.0,23.192485499999997,15.722896743681806,2464.5,1811.610311865,0.00015442308935109672,43.83999999999992,6.619648953746321,0.21631547936117723,5703.330000000002,1332.3295934361013,-9.393248794888425
0,2012,4502,2.835,19.4,54171475,9.947232,0.10252100840336134,8.310646885653381e-05,0.9197618488328037,0.30998383543140573,49.8,33.179137499999996,0.2074628270280444,30.4,23.231905499999996,16.185120847671307,2659.2999999999997,1891.364785625,0.00034886476408114986,39.20000000000027,6.811799220866192,0.220619825588527,6457.490000000005,1428.5058819125188,-9.311747512476876
0,2013,5071,2.823260869565218,19.4,54594744,9.947232,0.10252100840336134,9.288439927477268e-05,0.9195631909181587,0.31182836771072064,52.7,33.54557325,0.2093073593073593,33.300000000000004,23.598341249999997,15.538474436893932,2762.2000000000003,1857.627278875,0.00030821484322135495,31.36999999999989,7.5913776292595685,0.20162750949406627,6612.259999999995,1400.5591988097513,-9.200298342381247
9,2010,3829,3.757896373056995,10.8,53362801,12.431069999999998,0.09615384615384616,7.175410451186774e-05,0.9249569564386247,0.4926159707301661,64.0,57.015277,0.39646212457631996,53.2,44.584207,16.651015589647702,2505.6,1895.2103783750001,0.0007715949430130709,34.0,17.461027035958978,0.22034075501469097,6483.82,1179.7164935708206,-9.464257423088116
9,2011,5874,3.76570093457944,10.8,53783435,12.431069999999998,0.09615384615384616,0.00010921578363300894,0.9389811007794501,0.4918776635550829,70.0,57.548731000000004,0.39572381740123674,59.2,45.117661000000005,15.530080063575674,2443.9,1787.201298365,0.00041825796752284483,71.19999999999982,15.952540001431089,0.2176812478717034,7359.849999999991,1052.328556804765,-9.059225039392505
9,2012,5438,3.8111538461538466,12.0,54171475,12.472785,0.09554140127388536,0.00010038493506038003,0.9197618488328037,0.49126521867512213,71.2,57.686828000000006,0.39572381740123674,59.2,45.214043000000004,16.003839464427593,2637.9,1866.857095125,0.00043336492801497595,38.559999999999945,15.667371987624847,0.219933592206893,7748.690000000002,1154.6061312505044,-9.122857908751136
9,2013,4363,3.795372670807454,12.0,54594744,12.472785,0.09554140127388536,7.991611793252479e-05,0.9195631909181587,0.5940092967417808,88.0,72.751952,0.4984678954678955,76.0,60.279167,15.256293507862871,2726.9,1818.420900125,0.0006251520418947276,58.88000000000011,19.86573485011604,0.19585510492115832,10138.229999999996,1121.9326570649573,-9.350676485052656
9,2016,5891,3.67,12.0,56950757,12.472785,0.09554140127388536,0.00010344024048705797,0.9300480413280547,0.4731138736944124,81.6,58.588109625,0.37757247242052705,69.6,46.115324625,16.239706179888806,3094.5,1915.811791375,0.000424978442679122,124.62000000000012,12.925707580968947,0.2539606298770072,15571.029999999999,1173.4740241218751,-9.10399746178212
13,2014,16948,1.3595262096774194,25.4,55952365,9.188991875,0.052525252525252523,0.00030290051189078425,0.9188134228106355,0.7405643892002207,226.3,96.1523075,0.6880391366749682,200.9,86.963315625,15.714217063910107,2698.2999999999997,1846.204454,0.007410815131848367,460.64999999999964,44.40814923925109,0.5737681118664095,16241.23000000001,1961.0938780666766,-8.017433950759198
13,2015,50711,1.3486500000000001,25.4,56412140,9.188991875,0.052525252525252523,0.0008989377109253434,0.9279170405519096,0.8010129953928072,257.9,104.322878125,0.7484877428675547,232.49999999999997,95.13388625,15.475311797184514,2761.5,1820.354952125,0.007463463929580388,508.53000000000065,45.04351274016085,0.5709711713566017,14908.73000000001,2056.5184050786556,-6.93948386681271
13,2016,32828,1.35,25.4,56950757,9.188991875,0.052525252525252523,0.0005764278076233473,0.9300480413280547,0.8654989767012184,282.9,114.982670625,0.8129737241759659,257.5,105.79367875,15.847321076882,2893.2,1859.417230375,0.007606522962604653,511.09000000000015,47.37595618741739,0.60821692465863,14761.120000000024,2084.623235142273,-7.3861414145542055
22,2006,142,2.7195000000000005,11.4,51102005,12.882051,0.11133333333333334,2.7787559411807815e-06,0.9152275336359111,0.9430490962244137,215.0,107.16148100000001,0.8317157628910803,203.6,94.27943,15.381258931110022,2199.4,1756.1613767499998,0.014994136385042989,668.4400000000005,227.78303534156885,0.1713349136652882,4637.759999999995,1156.1824309315562,-12.704924659613841
22,2007,130,2.7195000000000005,11.4,51713048,12.882051,0.11133333333333334,2.5138723209662674e-06,0.9201741889203668,0.9551044366984534,214.3,107.324488625,0.8437711033651201,202.9,94.442437625,15.41093702075379,2203.1,1764.9454325000002,0.01400211921382688,641.8900000000003,226.09771486525005,0.17230526123381384,4447.709999999999,1155.7201274831823,-12.810493945213276
22,2008,121,2.680886409736309,11.4,52324877,12.882051,0.11133333333333334,2.3124755744767445e-06,0.9235641012591391,0.9520651230219583,215.3,107.376751875,0.840731789688625,203.9,94.49470087499999,15.42171536604202,2233.2999999999997,1764.894616625,0.014233290553721939,650.3299999999999,225.2510630915208,0.22079231830103652,4401.950000000004,1194.591822435912,-12.897676859469618
22,2009,54,2.82125,11.4,52877802,12.882051,0.11133333333333334,1.021222478196049e-06,0.9291896626111653,0.9528822144762311,214.5,107.348106375,0.8415488811428977,203.1,94.466055375,15.744211173328479,2236.7,1804.839544125,0.014205576003950365,644.5699999999997,225.33263693916115,0.22026862461407282,4493.4100000000035,1106.7153530293872,-13.72106773708061
22,2010,21,2.8417150259067356,11.4,53362801,12.882051,0.11133333333333334,3.9353256587861647e-07,0.9249569564386247,0.8668426852055665,190.4,100.117774125,0.7555093518722331,179.0,87.23572312499999,16.276788875172304,2379.2,1852.10788125,0.013613343352903512,497.4000000000001,194.02913713291446,0.22245926240229652,5201.300000000003,1182.9902525896832,-14.670093936841987
22,2012,187,2.850576923076923,11.4,54171475,12.882051,0.11133333333333334,3.4520012608111557e-06,0.9197618488328037,0.8523858034386812,208.0,100.14281224999999,0.7410524701053478,196.6,87.26076124999999,15.642718879664033,2501.1,1824.401110875,0.014992378149977309,876.6800000000012,193.7934230569217,0.22997637692034933,7816.810000000005,1134.116969530638,-12.492915917088967
22,2013,143,2.8387732919254667,11.4,54594744,12.882051,0.11133333333333334,2.6192997626291645e-06,0.9195631909181587,0.6972489670949483,187.0,90.98603349999999,0.5859156337616149,175.6,78.10398249999999,15.153053837509704,2627.9,1800.186818625,0.012668920857446503,1142.8800000000006,99.63644742023371,0.21897761369391588,10129.549999999996,1195.9835064009167,-12.768747027916358
22,2014,84,2.7643699596774196,11.4,55952365,12.882051,0.11133333333333334,1.5012770237683429e-06,0.9188134228106355,0.7405643892002207,226.3,96.1523075,0.6292310558668874,214.9,83.2702565,15.714217063910107,2698.2999999999997,1846.204454,0.016670563827196838,1645.0500000000002,149.3124989117391,0.23840702445443496,10907.230000000003,1121.8270743282264,-13.324522263662333
22,2015,77,2.742255,11.4,56412140,12.882051,0.11133333333333334,1.3649544229309507e-06,0.9279170405519096,0.8010129953928072,257.9,104.322878125,0.6896796620594738,246.49999999999997,91.440827125,15.475311797184514,2761.5,1820.354952125,0.019249688547779448,2062.5300000000007,171.10872789420773,0.23480057753196792,12889.929999999986,1163.6500800292124,-13.429576573529992
22,2016,51,2.745,11.4,56950757,12.882051,0.11133333333333334,8.955104846104153e-07,0.9300480413280547,0.8654989767012184,282.9,114.982670625,0.7541656433678852,271.5,102.100619625,15.847321076882,2893.2,1859.417230375,0.021444362939526423,2249.8900000000003,176.21634970378636,0.25720065414519366,14884.320000000007,1147.7653026872722,-13.853352870579482
26,2006,7304,1.6403333333333334,14.6,51102005,11.545450125000002,0.09478260869565218,0.00014292981263651006,0.9152275336359111,0.9430490962244137,215.0,107.16148100000001,0.8482664875287615,200.4,95.616030875,15.381258931110022,2199.4,1756.1613767499998,0.005274009808395763,290.84000000000015,122.44946135049895,0.15853754137106746,3291.2000000000044,855.3337317480764,-8.764574294940298
26,2007,2544,1.6403333333333334,14.6,51713048,11.545450125000002,0.09478260869565218,4.919454757337065e-05,0.9201741889203668,0.9551044366984534,214.3,107.324488625,0.8603218280028012,199.70000000000002,95.7790385,15.41093702075379,2203.1,1764.9454325000002,0.004681041878378311,268.7699999999995,121.19989314259374,0.16049027671852567,3077.469999999994,878.3529815027068,-9.836535471208846
26,2008,1564,1.6818864097363087,15.4,52324877,11.47252275,0.0939655172413793,2.989018015274073e-05,0.9235641012591391,0.9520651230219583,215.3,107.376751875,0.858099605780579,199.9,95.904229125,15.42171536604202,2233.2999999999997,1764.894616625,0.004516762314085931,214.32999999999993,116.01067680562528,0.2109396707581075,2937.1500000000087,917.675126495611,-10.338465483961102
26,2009,886,1.6403333333333334,14.6,52877802,11.44387725,0.09478260869565218,1.6755613253364805e-05,0.9291896626111653,0.9528822144762311,214.5,107.348106375,0.858099605780579,199.9,95.904229125,15.744211173328479,2236.7,1804.839544125,0.004810939892334332,270.1700000000001,114.28415689822486,0.21607412935506742,2991.330000000009,910.3846998303197,-10.923334833039801
26,2010,731,1.716416580310881,15.4,53362801,11.47252275,0.0939655172413793,1.3698681221774697e-05,0.9249569564386247,0.8668426852055665,190.4,100.117774125,0.7728771679641873,175.0,88.645251375,16.276788875172304,2379.2,1852.10788125,0.004502152540132476,153.40000000000055,98.65374215485917,0.22091457767869382,3212.5,945.9619188727083,-11.120202914815632
26,2011,697,1.719981308411215,15.4,53783435,11.47252275,0.0939655172413793,1.2959380523017914e-05,0.9389811007794501,0.7410524701053478,192.2,87.26076125,0.6470869528639684,176.79999999999998,75.7882385,15.28090525702541,2321.7000000000003,1757.489268115,0.005077377373821607,301.08000000000084,96.50184208034716,0.21657776316459865,3285.2899999999936,842.3036945951462,-11.190730740390547
26,2012,710,1.721769230769231,15.4,54171475,11.47252275,0.0939655172413793,1.310652885120813e-05,0.9197618488328037,0.8523858034386812,208.0,100.14281224999999,0.758420286197302,192.6,88.6702895,15.642718879664033,2501.1,1824.401110875,0.005379018409625486,391.880000000001,98.48861196789562,0.2171036480959332,4531.210000000006,921.9670638460229,-11.158759563908191
26,2013,509,1.7477329192546585,13.8,54594744,11.47252275,0.0939655172413793,9.323241812435278e-06,0.9195631909181587,0.6972489670949483,187.0,90.98603349999999,0.6032834498535691,173.2,79.51351075,15.153053837509704,2627.9,1800.186818625,0.004797970393025999,789.6000000000004,47.175079111625564,0.19266165275258018,6890.029999999999,949.900602473368,-11.499143641625743
26,2014,393,1.7502641129032261,13.8,55952365,11.47252275,0.0939655172413793,7.023831789773319e-06,0.9188134228106355,0.7405643892002207,226.3,96.1523075,0.6465988719588414,212.5,84.67978475000001,15.714217063910107,2698.2999999999997,1846.204454,0.006738609252244648,1163.6100000000006,77.08668918627859,0.2244522375791358,7450.75,936.8135650845361,-11.781529450636386
26,2015,301,1.7362620000000004,13.8,56412140,11.47252275,0.0939655172413793,5.335730926002807e-06,0.9279170405519096,0.8010129953928072,257.9,104.322878125,0.707047478151428,244.09999999999997,92.850355375,15.475311797184514,2761.5,1820.354952125,0.007851861842891661,1489.8900000000012,87.58775868052862,0.22324404322690405,8948.649999999994,1008.7507436550295,-12.0662717306348
26,2016,125,1.7380000000000002,13.8,56950757,11.47252275,0.0939655172413793,2.1948786387510177e-06,0.9300480413280547,0.8654989767012184,282.9,114.982670625,0.7715334594598391,269.09999999999997,103.510147875,15.847321076882,2893.2,1859.417230375,0.008720904881714842,1617.7299999999996,88.41747810854986,0.24786931930668876,10492.320000000022,999.9993565665718,-12.956864766001507
27,2006,7513,1.0575833333333333,21.0,51102005,9.188011125000001,0.07888888888888888,0.0001470196717330367,0.9152275336359111,0.9430490962244137,215.0,107.16148100000001,0.8641602073355248,194.0,97.973469875,15.381258931110022,2199.4,1756.1613767499998,0.0021276925548641967,272.9200000000001,41.16832869595146,0.22514460430620575,9998.400000000009,1657.1062376083355,-8.736361584845941
27,2007,5387,1.0575833333333333,21.5,51713048,9.200790000000001,0.07888888888888888,0.00010417100148496371,0.9201741889203668,0.9551044366984534,214.3,107.324488625,0.8762155478095645,192.8,98.123698625,15.41093702075379,2203.1,1764.9454325000002,0.0019179330321857924,300.5100000000002,40.764207395549874,0.22804073013606008,10785.459999999992,1712.3863976612956,-9.086284472988325
27,2008,3899,1.0425669371196757,21.5,52324877,9.200790000000001,0.07888888888888888,7.451522532962668e-05,0.9235641012591391,0.9520651230219583,215.3,107.376751875,0.8731762341330694,193.8,98.175961875,15.42171536604202,2233.2999999999997,1764.894616625,0.0019518866846282568,288.75,40.30234494973706,0.2772271820530965,10129.660000000003,1750.8839596163816,-9.424992016083761
27,2009,6091,1.0575833333333333,21.5,52877802,9.200790000000001,0.07888888888888888,0.00011519011323503954,0.9291896626111653,0.9528822144762311,214.5,107.348106375,0.8739933255873422,193.0,98.147316375,15.744211173328479,2236.7,1804.839544125,0.001977192291445079,299.14999999999964,40.17301567342656,0.291458228651289,10484.73000000001,1875.810196374514,-8.995484232808398
27,2010,4457,1.1387564766839378,20.8,53362801,9.303021,0.07582417582417582,8.352260219623779e-05,0.9249569564386247,0.8668426852055665,190.4,100.117774125,0.7910185093813907,169.6,90.814753125,16.276788875172304,2379.2,1852.10788125,0.0020711900535030914,247.3600000000015,37.26675074435161,0.32172631222629144,8598.460000000006,1815.7245128646173,-9.312385201618854
27,2011,1999,1.141121495327103,20.8,53783435,9.303021,0.07582417582417582,3.7167577712356975e-05,0.9389811007794501,0.7410524701053478,192.2,87.26076125,0.665228294281172,171.39999999999998,77.95774025,15.28090525702541,2321.7000000000003,1757.489268115,0.0011626212000635516,180.1200000000017,24.400805328496062,0.3089780833742104,7532.929999999993,1707.1690017345827,-10.13711381665067
27,2012,1731,1.2253846153846155,23.0,54171475,9.303021,0.07582417582417582,3.195408653724123e-05,0.9197618488328037,0.8523858034386812,208.0,100.14281224999999,0.7765616276145054,185.0,90.83979124999999,15.642718879664033,2501.1,1824.401110875,0.002423521467073697,440.52000000000044,37.21026106939644,0.304150260474763,12041.530000000013,1806.7276197755855,-10.267569978767343
27,2013,1363,1.2203105590062113,23.0,54594744,9.303021,0.07582417582417582,2.4965773261982876e-05,0.9195631909181587,0.6972489670949483,187.0,90.98603349999999,0.6214247912707725,164.0,81.68301249999999,15.153053837509704,2627.9,1800.186818625,0.002374118403530065,395.84000000000015,36.310590213803835,0.26502211650285235,11013.469999999987,1774.6678381029851,-10.514148226479733
27,2014,1159,1.2729193548387099,27.6,55952365,9.32857875,0.07582417582417582,2.0714048458898923e-05,0.9188134228106355,0.7405643892002207,226.3,96.1523075,0.6647402133760449,198.70000000000002,86.82372875,15.714217063910107,2698.2999999999997,1846.204454,0.002806144193808341,630.9300000000003,43.413047144678785,0.31101278310917824,22674.910000000003,1851.497198510071,-10.700026219165895
27,2015,1062,1.262736,27.6,56412140,9.32857875,0.07582417582417582,1.8825735027956747e-05,0.9279170405519096,0.8010129953928072,257.9,104.322878125,0.7251888195686315,230.29999999999998,94.994299375,15.475311797184514,2761.5,1820.354952125,0.003032421599698548,656.3700000000008,44.35221162070275,0.3103771031099454,20714.53,1946.3837984477286,-10.805472793581792
27,2016,5307,1.15,28.0,56950757,9.26780625,0.07582417582417582,9.318576748681321e-05,0.9300480413280547,0.8654989767012184,282.9,114.982670625,0.7896748008770427,254.89999999999998,105.71486437499999,15.847321076882,2893.2,1859.417230375,0.00316097625457587,706.090000000002,46.707313649813386,0.339259235523377,21514.360000000015,2019.9073997593223,-9.208396520475914
34,2006,71897,1.129527777777778,19.0,51102005,8.187466875,0.05909090909090909,0.0014069310979089764,0.9152275336359111,2.2249070700830402,325.6,234.986478875,2.165816160992131,306.6,226.79901199999998,14.099400957251396,2088.8,1628.3363788749998,0.07975468365262817,821.159999999998,286.37518905033403,0.3431602475567679,5907.759999999995,2272.0591100408674,-6.477761898993984
34,2007,47041,1.1870833333333335,19.0,51713048,8.187466875,0.05909090909090909,0.0009096543680813399,0.9201741889203668,2.1606430895495436,290.6,229.2872715,2.1015521804586346,271.6,221.099804625,14.205398367902701,2126.8,1642.982649625,0.07985786940111284,689.3199999999979,305.820747286562,0.34739590332820525,5777.39999999998,2334.471411251241,-6.919253554818908
34,2008,42339,1.1702281947261666,19.0,52324877,8.187466875,0.05909090909090909,0.0008091562260146354,0.9235641012591391,2.1465147188067903,293.7,232.22522075,2.0874238097158813,274.7,224.037753875,14.227265770257189,2154.9,1640.04614775,0.07940631518161503,686.7299999999996,326.4189776145722,0.39737429750019215,5268.430000000008,2351.9118137496152,-7.040003478984243
34,2009,43660,1.2086666666666668,18.4,52877802,8.237543125,0.058426966292134834,0.0008256772851488797,0.9291896626111653,2.1000748564477694,277.4,224.13728550000002,2.0416478901556347,259.0,215.89974237500002,14.597018531356941,2173.7999999999997,1688.050365,0.08337242135022072,685.460000000001,324.48861597013183,0.42695436217306204,4763.3200000000215,2486.940452207611,-7.025864153540948
34,2010,38376,1.2174341968911917,18.6,53362801,8.237543125,0.058426966292134834,0.0007191526546741802,0.9249569564386247,2.0831702186415564,282.8,222.00566675,2.0247432523494218,264.2,213.768123625,15.060461341736314,2286.7999999999997,1730.219988625,0.08167690826842738,682.340000000002,316.68435792476475,0.44157210242012024,4734.12000000001,2519.2692829680236,-7.15942883138351
34,2011,18104,1.2199626168224298,18.6,53783435,8.237543125,0.058426966292134834,0.00033660921806128596,0.9389811007794501,1.859281060867501,275.0,212.7070855,1.8008540945753662,256.4,204.469542375,14.162676666263257,2238.9,1632.042943865,0.059618628611958435,618.1800000000021,315.55855602206066,0.434301547456986,4287.229999999981,2356.838654996038,-7.933627963837698
34,2012,7738,1.2212307692307691,18.6,54171475,8.237543125,0.058426966292134834,0.00014284270457837818,0.9197618488328037,1.7937672265136324,293.8,205.78095675,1.7353402602214976,275.2,197.543413625,14.701337456589082,2415.2999999999997,1718.762966375,0.05660890749920908,677.7800000000007,288.00540333632716,0.43385805265708854,5076.670000000013,2535.9735572549944,-8.770125998683094
34,2013,128,1.2161739130434783,18.6,54594744,8.237543125,0.058426966292134834,2.344548039276455e-06,0.9195631909181587,1.3422406644356022,302.1,177.277028625,1.2838136981434674,283.5,169.0394855,14.50806214016905,2512.8,1713.8958235,0.016842860112043362,605.369999999999,240.0013628818474,0.41901783198297116,5556.499999999985,2535.9731185207856,-12.879561394256648
40,2006,11393,2.093583333333333,13.8,51102005,11.90508,0.11313868613138686,0.00022294624252022988,0.9152275336359111,2.2249070700830402,325.6,234.986478875,2.1117683839516532,311.8,223.081398875,14.099400957251396,2088.8,1628.3363788749998,0.034733283142640736,625.6400000000012,107.82018844459526,0.159519942651003,3070.6399999999994,921.279222713114,-8.319997306516987
40,2007,6929,2.093583333333333,13.8,51713048,11.90508,0.11313868613138686,0.00013398939470750206,0.9201741889203668,2.1606430895495436,290.6,229.2872715,2.0475044034181566,276.8,217.3821915,14.205398367902701,2126.8,1642.982649625,0.032474492711994984,300.3600000000006,94.94432698243872,0.16160637634928676,3164.919999999991,949.4895031556589,-8.834557614041477
40,2008,3435,2.0638569979716026,13.8,52324877,11.90508,0.11313868613138686,6.56475503994018e-05,0.9235641012591391,2.1465147188067903,293.7,232.22522075,2.0333760326754033,279.9,220.32014075,14.227265770257189,2154.9,1640.04614775,0.03355015255619631,330.0100000000011,93.69823992568217,0.2092210015474545,2948.189999999995,988.7634614782073,-9.55169520040991
40,2009,5106,2.980555555555556,11.2,52877802,12.532608,0.13642384105960265,9.656225877164864e-05,0.9291896626111653,2.1000748564477694,277.4,224.13728550000002,1.9636510153881668,266.2,211.6046775,14.597018531356941,2173.7999999999997,1688.050365,0.04453119655660731,630.7400000000016,94.09403607549393,0.3839805502807119,4737.400000000016,1100.1133345008566,-9.171880185843454
